Id	p_1	p___3
1	44346	1159
2	66667	2550
3	116759	2936
4	12365	3092
5	39811	6262
6	170073	2362
7	30257	7760
8	16825	5933
9	52458	2592
10	175877	3025
11	102688	8496
12	40020	4082
13	73581	2769
14	30022	4316
15	95241	1215
16	26902	2678
17	98554	2321
18	49437	1552
19	8937	3640
20	165719	4543
21	10852	1900
22	11567	4368
23	33343	1821
24	9809	1487
25	135269	6220
26	7046	5009
27	173048	924
28	170481	2465
29	37706	737
30	123700	805
31	15780	3727
32	154296	661
33	54351	3685
34	1849	1244
35	122525	6459
36	0	0
37	6326	2422
38	23003	3481
39	7536	2421
40	45003	6954
41	47178	6222
42	55504	1545
43	28770	12343
44	6275	7909
45	10246	5910
46	173417	5586
47	26965	3915
48	9026	2376
49	38572	6483
50	81835	2687
51	46104	8303
52	32460	1391
53	17743	4314
54	29839	4412
55	188446	455
56	79995	5969
57	129060	6092
58	191105	6802
59	188810	3766
60	0	0
61	155196	5336
62	147294	5339
63	166029	12747
64	0	0
65	38869	4360
66	37137	7236
67	3653	5607
68	191750	9038
69	0	0
70	49783	7849
71	175119	2701
72	180346	4985
73	165808	1666
74	189959	4208
75	2417	9053
76	29205	9184
77	165271	3366
78	45901	7512
79	0	0
80	0	0
81	0	0
82	110794	4854
83	0	0
84	0	0
85	65413	4631
86	132446	5352
87	60895	13570
88	167978	836
89	14584	4499
90	110788	4331
91	179743	11621
92	175226	3477
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
