RPId	SpaxelId	FiberId	s
1	1		1	-55.66
1	2		2	-55.49
1	3		3	-55.32
1	4		4	-55.15
1	5		5	-54.98
1	6		6	-54.81
1	7		7	-54.64
2	1		8	-54.27
2	2		9	-54.1
2	3		10	-53.93
2	4		11	-53.76
2	5		12	-53.59
2	6		13	-53.42
2	7		14	-53.25
3	1		15	-53.08
3	2		16	-52.91
3	3		17	-52.74
3	4		18	-52.57
3	5		19	-52.4
3	6		20	-52.23
3	7		21	-52.06
4	1		22	-51.89
4	2		23	-51.72
4	3		24	-51.55
4	4		25	-51.38
4	5		26	-51.21
4	6		27	-51.04
4	7		28	-50.87
5	1		29	-50.5
5	2		30	-50.33
5	3		31	-50.16
5	4		32	-49.99
5	5		33	-49.82
5	6		34	-49.65
5	7		35	-49.48
6	1		36	-49.31
6	2		37	-49.14
6	3		38	-48.97
6	4		39	-48.8
6	5		40	-48.63
6	6		41	-48.46
6	7		42	-48.29
7	1		43	-48.12
7	2		44	-47.95
7	3		45	-47.78
7	4		46	-47.61
7	5		47	-47.44
7	6		48	-47.27
7	7		49	-47.1
8	1		50	-46.73
8	2		51	-46.56
8	3		52	-46.39
8	4		53	-46.22
8	5		54	-46.05
8	6		55	-45.88
8	7		56	-45.71
9	1		57	-45.54
9	2		58	-45.37
9	3		59	-45.2
9	4		60	-45.03
9	5		61	-44.86
9	6		62	-44.69
9	7		63	-44.52
10	1		64	-44.35
10	2		65	-44.18
10	3		66	-44.01
10	4		67	-43.84
10	5		68	-43.67
10	6		69	-43.5
10	7		70	-43.33
11	1		71	-42.96
11	2		72	-42.79
11	3		73	-42.62
11	4		74	-42.45
11	5		75	-42.28
11	6		76	-42.11
11	7		77	-41.94
12	1		78	-41.77
12	2		79	-41.6
12	3		80	-41.43
12	4		81	-41.26
12	5		82	-41.09
12	6		83	-40.92
12	7		84	-40.75
13	1		85	-40.58
13	2		86	-40.41
13	3		87	-40.24
13	4		88	-40.07
13	5		89	-39.9
13	6		90	-39.73
13	7		91	-39.56
14	1		92	-39.39
14	2		93	-39.22
14	3		94	-39.05
14	4		95	-38.88
14	5		96	-38.71
14	6		97	-38.54
14	7		98	-38.37
15	1		99	-38
15	2		100	-37.83
15	3		101	-37.66
15	4		102	-37.49
15	5		103	-37.32
15	6		104	-37.15
15	7		105	-36.98
16	1		106	-36.81
16	2		107	-36.64
16	3		108	-36.47
16	4		109	-36.3
16	5		110	-36.13
16	6		111	-35.96
16	7		112	-35.79
17	1		113	-35.62
17	2		114	-35.45
17	3		115	-35.28
17	4		116	-35.11
17	5		117	-34.94
17	6		118	-34.77
17	7		119	-34.6
18	1		120	-34.43
18	2		121	-34.26
18	3		122	-34.09
18	4		123	-33.92
18	5		124	-33.75
18	6		125	-33.58
18	7		126	-33.41
19	1		127	-33.04
19	2		128	-32.87
19	3		129	-32.7
19	4		130	-32.53
19	5		131	-32.36
19	6		132	-32.19
19	7		133	-32.02
20	1		134	-31.85
20	2		135	-31.68
20	3		136	-31.51
20	4		137	-31.34
20	5		138	-31.17
20	6		139	-31
20	7		140	-30.83
21	1		141	-30.66
21	2		142	-30.49
21	3		143	-30.32
21	4		144	-30.15
21	5		145	-29.98
21	6		146	-29.81
21	7		147	-29.64
22	1		148	-29.47
22	2		149	-29.3
22	3		150	-29.13
22	4		151	-28.96
22	5		152	-28.79
22	6		153	-28.62
22	7		154	-28.45
23	1		155	-28.28
23	2		156	-28.11
23	3		157	-27.94
23	4		158	-27.77
23	5		159	-27.6
23	6		160	-27.43
23	7		161	-27.26
24	1		162	-26.89
24	2		163	-26.72
24	3		164	-26.55
24	4		165	-26.38
24	5		166	-26.21
24	6		167	-26.04
24	7		168	-25.87
25	1		169	-25.7
25	2		170	-25.53
25	3		171	-25.36
25	4		172	-25.19
25	5		173	-25.02
25	6		174	-24.85
25	7		175	-24.68
26	1		176	-24.51
26	2		177	-24.34
26	3		178	-24.17
26	4		179	-24
26	5		180	-23.83
26	6		181	-23.66
26	7		182	-23.49
27	1		183	-23.32
27	2		184	-23.15
27	3		185	-22.98
27	4		186	-22.81
27	5		187	-22.64
27	6		188	-22.47
27	7		189	-22.3
28	1		190	-22.13
28	2		191	-21.96
28	3		192	-21.79
28	4		193	-21.62
28	5		194	-21.45
28	6		195	-21.28
28	7		196	-21.11
29	1		197	-20.94
29	2		198	-20.77
29	3		199	-20.6
29	4		200	-20.43
29	5		201	-20.26
29	6		202	-20.09
29	7		203	-19.92
30	1		204	-19.55
30	2		205	-19.38
30	3		206	-19.21
30	4		207	-19.04
30	5		208	-18.87
30	6		209	-18.7
30	7		210	-18.53
31	1		211	-18.36
31	2		212	-18.19
31	3		213	-18.02
31	4		214	-17.85
31	5		215	-17.68
31	6		216	-17.51
31	7		217	-17.34
32	1		218	-17.17
32	2		219	-17
32	3		220	-16.83
32	4		221	-16.66
32	5		222	-16.49
32	6		223	-16.32
32	7		224	-16.15
33	1		225	-15.98
33	2		226	-15.81
33	3		227	-15.64
33	4		228	-15.47
33	5		229	-15.3
33	6		230	-15.13
33	7		231	-14.96
34	1		232	-14.79
34	2		233	-14.62
34	3		234	-14.45
34	4		235	-14.28
34	5		236	-14.11
34	6		237	-13.94
34	7		238	-13.77
35	1		239	-13.6
35	2		240	-13.43
35	3		241	-13.26
35	4		242	-13.09
35	5		243	-12.92
35	6		244	-12.75
35	7		245	-12.58
36	1		246	-12.41
36	2		247	-12.24
36	3		248	-12.07
36	4		249	-11.9
36	5		250	-11.73
36	6		251	-11.56
36	7		252	-11.39
37	1		253	-11.22
37	2		254	-11.05
37	3		255	-10.88
37	4		256	-10.71
37	5		257	-10.54
37	6		258	-10.37
37	7		259	-10.2
38	1		260	-10.03
38	2		261	-9.86
38	3		262	-9.69
38	4		263	-9.52
38	5		264	-9.35
38	6		265	-9.18
38	7		266	-9.01
39	1		267	-8.84
39	2		268	-8.67
39	3		269	-8.5
39	4		270	-8.33
39	5		271	-8.16
39	6		272	-7.99
39	7		273	-7.82
40	1		274	-7.65
40	2		275	-7.48
40	3		276	-7.31
40	4		277	-7.14
40	5		278	-6.97
40	6		279	-6.8
40	7		280	-6.63
41	1		281	-6.46
41	2		282	-6.29
41	3		283	-6.12
41	4		284	-5.95
41	5		285	-5.78
41	6		286	-5.61
41	7		287	-5.44
42	1		288	-5.27
42	2		289	-5.1
42	3		290	-4.93
42	4		291	-4.76
42	5		292	-4.59
42	6		293	-4.42
42	7		294	-4.25
43	1		295	-4.08
43	2		296	-3.91
43	3		297	-3.74
43	4		298	-3.57
43	5		299	-3.4
43	6		300	-3.23
43	7		301	-3.06
44	1		302	-2.89
44	2		303	-2.72
44	3		304	-2.55
44	4		305	-2.38
44	5		306	-2.21
44	6		307	-2.04
44	7		308	-1.87
45	1		309	-1.7
45	2		310	-1.53
45	3		311	-1.36
45	4		312	-1.19
45	5		313	-1.02
45	6		314	-0.85
45	7		315	-0.68
46	1		316	-0.51
46	2		317	-0.34
46	3		318	-0.17
46	4		319	0
46	5		320	0.17
46	6		321	0.34
46	7		322	0.51
47	1		323	0.68
47	2		324	0.85
47	3		325	1.02
47	4		326	1.19
47	5		327	1.36
47	6		328	1.53
47	7		329	1.7
48	1		330	1.87
48	2		331	2.04
48	3		332	2.21
48	4		333	2.38
48	5		334	2.55
48	6		335	2.72
48	7		336	2.89
49	1		337	3.06
49	2		338	3.23
49	3		339	3.4
49	4		340	3.57
49	5		341	3.74
49	6		342	3.91
49	7		343	4.08
50	1		344	4.25
50	2		345	4.42
50	3		346	4.59
50	4		347	4.76
50	5		348	4.93
50	6		349	5.1
50	7		350	5.27
51	1		351	5.44
51	2		352	5.61
51	3		353	5.78
51	4		354	5.95
51	5		355	6.12
51	6		356	6.29
51	7		357	6.46
52	1		358	6.63
52	2		359	6.8
52	3		360	6.97
52	4		361	7.14
52	5		362	7.31
52	6		363	7.48
52	7		364	7.65
53	1		365	7.82
53	2		366	7.99
53	3		367	8.16
53	4		368	8.33
53	5		369	8.5
53	6		370	8.67
53	7		371	8.84
54	1		372	9.01
54	2		373	9.18
54	3		374	9.35
54	4		375	9.52
54	5		376	9.69
54	6		377	9.86
54	7		378	10.03
55	1		379	10.2
55	2		380	10.37
55	3		381	10.54
55	4		382	10.71
55	5		383	10.88
55	6		384	11.05
55	7		385	11.22
56	1		386	11.39
56	2		387	11.56
56	3		388	11.73
56	4		389	11.9
56	5		390	12.07
56	6		391	12.24
56	7		392	12.41
57	1		393	12.58
57	2		394	12.75
57	3		395	12.92
57	4		396	13.09
57	5		397	13.26
57	6		398	13.43
57	7		399	13.6
58	1		400	13.77
58	2		401	13.94
58	3		402	14.11
58	4		403	14.28
58	5		404	14.45
58	6		405	14.62
58	7		406	14.79
59	1		407	14.96
59	2		408	15.13
59	3		409	15.3
59	4		410	15.47
59	5		411	15.64
59	6		412	15.81
59	7		413	15.98
60	1		414	16.15
60	2		415	16.32
60	3		416	16.49
60	4		417	16.66
60	5		418	16.83
60	6		419	17
60	7		420	17.17
61	1		421	17.34
61	2		422	17.51
61	3		423	17.68
61	4		424	17.85
61	5		425	18.02
61	6		426	18.19
61	7		427	18.36
62	1		428	18.53
62	2		429	18.7
62	3		430	18.87
62	4		431	19.04
62	5		432	19.21
62	6		433	19.38
62	7		434	19.55
63	1		435	19.92
63	2		436	20.09
63	3		437	20.26
63	4		438	20.43
63	5		439	20.6
63	6		440	20.77
63	7		441	20.94
64	1		442	21.11
64	2		443	21.28
64	3		444	21.45
64	4		445	21.62
64	5		446	21.79
64	6		447	21.96
64	7		448	22.13
65	1		449	22.3
65	2		450	22.47
65	3		451	22.64
65	4		452	22.81
65	5		453	22.98
65	6		454	23.15
65	7		455	23.32
66	1		456	23.49
66	2		457	23.66
66	3		458	23.83
66	4		459	24
66	5		460	24.17
66	6		461	24.34
66	7		462	24.51
67	1		463	24.68
67	2		464	24.85
67	3		465	25.02
67	4		466	25.19
67	5		467	25.36
67	6		468	25.53
67	7		469	25.7
68	1		470	25.87
68	2		471	26.04
68	3		472	26.21
68	4		473	26.38
68	5		474	26.55
68	6		475	26.72
68	7		476	26.89
69	1		477	27.26
69	2		478	27.43
69	3		479	27.6
69	4		480	27.77
69	5		481	27.94
69	6		482	28.11
69	7		483	28.28
70	1		484	28.45
70	2		485	28.62
70	3		486	28.79
70	4		487	28.96
70	5		488	29.13
70	6		489	29.3
70	7		490	29.47
71	1		491	29.64
71	2		492	29.81
