# A table for indicate the position and orientation of each RP (Robotic Positioner):
#     Id: identifier of the RP (a nonnegative integer number)
#     x0: abscissa of the point P0 of the RP in S0 (in mm)
#     y0: ordinate of the point P0 of the RP in S0 (in mm)
#     thetaO1: orientation of S1 in S0 (in rad)

Id	x0	y0	thetaO1
1	-0.019	52.218	0
2	-60.325	87.049	0
3	20.086	87	0
4	-40.212	87.049	0
5	40.18	87.046	0
6	-20.111	87.051	0
7	60.296	87.03	0
8	-90.483	69.658	0
9	10.051	69.619	0
10	-70.354	69.631	0
11	30.15	69.628	0
12	-50.266	69.64	0
13	50.231	69.636	0
14	-30.158	69.619	0
15	70.35	69.609	0
16	-10.047	69.62	0
17	90.449	69.64	0
18	-80.418	52.221	0
19	20.087	52.221	0
20	-60.297	52.236	0
21	40.179	52.213	0
22	-40.211	52.235	0
23	60.291	52.214	0
24	-20.107	52.207	0
25	80.399	52.222	0
26	-90.462	34.834	0
27	10.035	34.838	0
28	-70.367	34.812	0
29	30.15	34.814	0
30	-50.25	34.825	0
31	50.227	34.823	0
32	-30.149	34.819	0
33	70.334	34.793	0
34	-10.059	34.843	-0.0844
35	90.45	34.814	0
36	-80.408	17.431	0
37	20.086	17.415	0
38	-60.292	17.407	0
39	40.183	17.399	0
40	-40.195	17.408	0
41	60.278	17.399	0
42	-20.104	17.405	0
43	80.378	17.406	0
44	-70.338	0.001	0
45	30.125	0	0
46	-50.254	0.003	0
47	50.222	0.005	0
48	-30.146	0.006	0
49	70.336	-0.037	0
50	-80.411	-17.398	0
51	20.082	-17.418	0
52	-60.304	-17.405	0
53	40.175	-17.408	0
54	-40.189	-17.399	0
55	60.237	-17.434	0
56	-20.11	-17.421	0
57	80.4	-17.407	0
58	-90.465	-34.808	0
59	10.028	-34.826	0
60	-70.342	-34.818	0
61	30.15	-34.814	0
62	-50.25	-34.814	0
63	50.25	-34.814	0
64	-30.15	-34.814	0
65	70.316	-34.829	0
66	-10.061	-34.816	0
67	90.45	-34.814	0
68	-80.402	-52.248	0
69	20.099	-52.238	0
70	-60.314	-52.227	0
71	40.178	-52.234	0
72	-40.208	-52.212	0
73	60.288	-52.232	0
74	-20.097	-52.213	0.0349
75	80.401	-52.244	0
76	-90.45	-69.628	0
77	10.05	-69.628	0
78	-70.359	-69.647	0
79	30.15	-69.628	0
80	-50.268	-69.649	0
81	50.217	-69.649	0
82	-30.175	-69.638	0.0349
83	70.329	-69.653	0
84	-10.073	-69.635	0
85	90.409	-69.671	0
86	-60.3	-87.036	0
87	20.077	-87.072	0
88	-40.2	-87.036	0
89	40.166	-87.079	0
90	-20.139	-87.095	0
91	60.287	-87.097	0
92	0	-52.221	0
93	-80.4	87.035553	0
94	-90.45	0	0
95	0	87.035553	0
96	-80.4	-87.035553	0
97	80.4	87.035553	0
98	0	-87.035553	0
99	90.45	0	0
100	80.4	-87.035553	0
