Id	p_1	p___3
2	194840	10519
4	129633	5468
6	135615	10689
3	152826	3495
5	46523	12185
7	37600	8418
8	118571	14266
10	0	0
12	15993	9965
14	105607	2947
16	102722	11756
9	6294	2391
11	118253	10290
13	39553	5110
15	37150	7482
17	153044	10657
18	120202	3130
20	52590	6037
22	10312	7512
24	72302	6792
1	14692	269
19	193063	6940
21	179628	7691
23	164050	7796
25	152509	1099
26	189426	11202
28	104487	2607
30	57519	10400
32	175827	6274
34	37603	11797
27	87837	7761
29	187697	950
31	94082	9230
33	1720	8485
35	165039	12130
36	165098	3638
38	104665	749
40	133017	7409
42	40170	5432
37	102895	8208
39	52599	7362
41	62502	10386
43	155961	11601
44	193929	8694
46	93092	11419
48	116694	3698
45	166912	8023
47	0	0
49	43274	5309
50	130418	13945
52	63095	10902
54	62357	8573
56	190166	9711
51	95734	14589
53	126647	8817
55	151049	3174
57	98875	13861
58	118134	14031
60	62934	886
62	121052	2844
64	181331	3046
66	5575	7761
59	105661	5631
61	161728	5043
63	19502	3805
65	101608	8762
67	44913	10012
68	48440	7990
70	31346	7620
72	30558	11192
74	99351	7152
92	120463	4913
69	56400	7734
71	177858	3060
73	27918	4040
75	134263	10807
76	39547	4448
78	179710	5933
80	110498	7918
82	192664	3277
84	172435	6738
77	138628	5948
79	45200	9367
81	13938	6072
83	22659	5465
85	172750	3027
86	136617	1972
88	106881	5526
90	97943	8467
87	190088	8782
89	131331	11733
91	118405	4595
