Id	p_1	p___3
2	180159	7754
4	151006	9448
6	101516	6660
3	70870	4645
5	100305	2589
7	60342	2691
8	131490	5260
10	83960	8264
12	108964	12157
14	64725	7785
16	121807	7295
9	194339	4740
11	149578	2769
13	135517	12121
15	100558	7354
17	118333	5607
18	118928	9200
20	47315	5397
22	28407	9566
24	87787	7538
1	188448	9697
19	36239	10477
21	69276	4822
23	102696	6017
25	110437	3355
26	34406	11513
28	125934	10371
30	96344	6832
32	184153	4072
34	11201	8540
27	186861	8156
29	91992	4879
31	177323	11679
33	138225	8800
35	124995	10057
36	110220	7068
38	145349	10966
40	20707	5924
42	170046	3116
37	695	5108
39	188208	7440
41	24293	5788
43	56658	8573
44	182808	1985
46	113939	5359
48	177753	4419
45	179843	5864
47	43345	7251
49	7733	5559
50	97724	9680
52	108409	12306
54	98764	9602
56	84692	10860
51	58154	9582
53	152225	8379
55	151021	13714
57	132331	6166
58	29718	9834
60	115461	6842
62	123543	5483
64	13760	7130
66	63481	7688
59	69280	2987
61	168691	1820
63	20068	10605
65	118080	5328
67	131021	8605
68	149724	5796
70	170400	14716
72	157285	3328
74	2797	6124
92	6148	6298
69	186992	5616
71	39038	6753
73	92342	10780
75	85412	6664
76	136409	12048
78	69616	4559
80	17983	10711
82	94250	1906
84	183955	10818
77	77969	3679
79	3866	9989
81	160402	3524
83	15355	3936
85	8681	8495
86	30842	12256
88	139705	4494
90	38106	7595
87	130082	3341
89	185072	5992
91	5974	8525
