Id     x           y
   9  18.015057  63.999284   
  11  22.870949  61.143449   
  19  27.690302  56.398476   
  20  -64.328860 44.806772   
    21  30.097343  50.606902 
    22  -35.274850 46.728260 
 29  38.329815  40.608748    
    32  -39.101321 41.823083 
   45  38.505574  -5.567087  
    46  -45.278199 -9.136288 
   47  52.194938  -6.714440  
 48  -39.001262 -7.259324    
    52  -51.105228 -10.393143
 53  44.932416  -9.036676    
  54  -31.504759 -11.847000  
    55  50.888343  -13.657212
    56  -29.821575 -19.948342
   64  -39.971228 -29.643011 
