# MEGARA file for block: 0
# Total number of blocks: 1
# Title:M15
# Description:Example2
# Generated with FMAT version: 3.1.0
# Properties file version: 1
# Date of generation  2017-08-23T18:23:59Z
# Id| Ra	 | Dec	      | Pos
@@SOB@@
0|298.447185|18.781428|360
@@EOB@@
#      Name         |    RA   |    Dec  | Mag |     Type       |Pr|Bid|Pid| X(mm)    | Y(mm)  | Angle(deg) | Enabled| Comment
@@SOS@@
s:62                |298.446470|18.800400|13.11|REFERENCE       |0 |0  |1  |2.008018  |56.292102 |175.5946  |1|                    
                    |298.468645|18.810765|     |UNKNOWN         |  |   |2  |-60.274000|87.049000 |0.0000    |1|                    
                    |298.440010|18.810749|     |UNKNOWN         |  |   |3  |20.152000 |87.000000 |0.0000    |1|                    
s:7                 |298.462390|18.808000|15.28|REFERENCE       |0 |0  |4  |-42.706314|78.843999 |28.7569   |1|                    
                    |298.432862|18.810764|     |UNKNOWN         |  |   |5  |40.227000 |87.046000 |0.0000    |1|                    
                    |298.454353|18.810766|     |UNKNOWN         |  |   |6  |-20.133000|87.051000 |360.0000  |0|                    
                    |298.425748|18.810758|     |UNKNOWN         |  |   |7  |60.209000 |87.030000 |360.0000  |1|                    
                    |298.479402|18.804902|     |UNKNOWN         |  |   |8  |-90.490000|69.658000 |359.9999  |1|                    
                    |298.443607|18.804892|     |UNKNOWN         |  |   |9  |10.049000 |69.619000 |360.0000  |0|                    
                    |298.472227|18.804894|     |UNKNOWN         |  |   |10 |-70.338000|69.631000 |0.0000    |0|                    
s:93                |298.436910|18.804100|16.97|REFERENCE       |0 |0  |11 |28.859610 |67.271257 |344.4407  |1|                    
                    |298.465065|18.804898|     |UNKNOWN         |  |   |12 |-50.221000|69.640000 |0.0000    |0|                    
s:120               |298.431390|18.802300|15.18|REFERENCE       |0 |0  |13 |44.364377 |61.931587 |21.7490   |1|                    
s:14                |298.460510|18.805500|15.03|REFERENCE       |0 |0  |14 |-37.426544|71.425787 |295.5127  |1|                    
                    |298.422118|18.804886|     |UNKNOWN         |  |   |15 |70.406000 |69.609000 |0.0000    |1|                    
s:47                |298.447550|18.806600|16.71|REFERENCE       |0 |0  |16 |-1.025459 |74.688212 |178.7669  |1|                    
                    |298.414957|18.804896|     |UNKNOWN         |  |   |17 |90.521000 |69.640000 |0.0000    |1|                    
                    |298.475821|18.799026|     |UNKNOWN         |  |   |18 |-80.433000|52.221000 |360.0000  |0|                    
s:114               |298.440680|18.798600|12.00|REFERENCE       |0 |0  |19 |18.271225 |50.951626 |314.3992  |1|                    
                    |298.468646|18.799032|     |UNKNOWN         |  |   |20 |-60.282000|52.236000 |0.0000    |1|                    
s:133               |298.430190|18.798500|15.05|REFERENCE       |0 |0  |21 |47.735988 |50.656861 |119.0413  |1|                    
s:113               |298.464600|18.801700|11.89|REFERENCE       |0 |0  |22 |-48.915334|60.151743 |308.2154  |1|                    
s:212               |298.424360|18.800500|14.85|REFERENCE       |0 |0  |23 |64.110777 |56.592925 |168.2864  |1|                    
s:40                |298.453360|18.796100|16.00|REFERENCE       |0 |0  |24 |-17.345127|43.533806 |67.0715   |1|                    
