Id			x			y
1.00000       0.00000               52.2213  
4.00000	     -40.2000	            87.0356
7.00000	      60.3000	            87.0356
10.0000	     -70.3500	            69.6284
12.0000	     -50.2500	            69.6284
13.0000	      50.2500	            69.6284
21.0000	      40.2000	            52.2213
23.0000	      60.3000	            52.2213
22.0000	     -40.2000	            52.2213
25.0000	      80.4000	            52.2213
24.0000	     -20.1000	            52.2213
26.0000	     -90.4500	            34.8142
31.0000	      50.2500	            34.8142
30.0000	     -50.2500	            34.8142
35.0000	      90.4500	            34.8142
39.0000	      40.2000	            17.4071
36.0000	     -80.4000	            17.4071
42.0000	     -20.1000	            17.4071
40.0000	     -40.2000	            17.4071
44.0000	     -70.3500	            0.00000
50.0000	     -80.4000	           -17.4071
54.0000	     -40.2000	           -17.4071
52.0000	     -60.3000	           -17.4071
59.0000	      10.0500	           -34.8142
57.0000	      80.4000	           -17.4071
56.0000	     -20.1000	           -17.4071
63.0000	      50.2500	           -34.8142
61.0000	      30.1500	           -34.8142
68.0000	     -80.4000	           -52.2213
69.0000	      20.1000	           -52.2213
71.0000	      40.2000	           -52.2213
65.0000	      70.3500	           -34.8142
66.0000	     -10.0500	           -34.8142
67.0000	      90.4500	           -34.8142
76.0000	     -90.4500	           -69.6284
78.0000	     -70.3500	           -69.6284
72.0000	     -40.2000	           -52.2213
73.0000	      60.3000	           -52.2213
85.0000	      90.4500	           -69.6284
84.0000	     -10.0500	           -69.6284
86.0000	     -60.3000	           -87.0356
83.0000	      70.3500	           -69.6284
92.0000	      0.00000	           -52.2213
89.0000	      40.2000	           -87.0356
88.0000	     -40.2000	           -87.0356
91.0000	      60.3000	           -87.0356
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
